Country Name,ISO3,Year,HDI,Suicide_rate,GDP_per_capita,log_GDP_per_capita,income_group_auto,continent,Low_data_quality_flag,HDI_sq,Suicide_rate_lag1,HDI_lag1,Low_data_quality_flag_panel
Belize,BLZ,2020,0.705,5.03,5742.746890584008,8.655692927210499,Lower-Middle,America,✅ Sufficient data,0.49702499999999994,,0.718,✅ Sufficient data
Belize,BLZ,2021,0.698,5.09,5742.746890584008,8.655692927210499,Lower-Middle,America,✅ Sufficient data,0.4872039999999999,5.03,0.705,✅ Sufficient data
Belize,BLZ,2022,0.7,,5742.746890584008,8.655692927210499,Lower-Middle,America,✅ Sufficient data,0.48999999999999994,5.09,0.698,⚠️ Low data reliability
Belize,BLZ,2023,0.721,,5742.746890584008,8.655692927210499,Lower-Middle,America,✅ Sufficient data,0.519841,,0.7,⚠️ Low data reliability
Bermuda,BMU,2020,,3.72,,,,,,,,,⚠️ Low data reliability
Bermuda,BMU,2021,,3.99,,,,,,,3.72,,⚠️ Low data reliability
Bolivia,BOL,2010,0.661,,3148.045339935347,8.054537012208463,Lower-Middle,America,✅ Sufficient data,0.43692100000000006,,,⚠️ Low data reliability
Bolivia,BOL,2019,0.715,,3148.045339935347,8.054537012208463,Lower-Middle,America,✅ Sufficient data,0.5112249999999999,,0.661,⚠️ Low data reliability
Bolivia,BOL,2020,0.691,5.55,3148.045339935347,8.054537012208463,Lower-Middle,America,✅ Sufficient data,0.47748099999999993,,0.715,✅ Sufficient data
Bolivia,BOL,2021,0.691,5.53,3148.045339935347,8.054537012208463,Lower-Middle,America,✅ Sufficient data,0.47748099999999993,5.55,0.691,✅ Sufficient data
Bolivia,BOL,2022,0.698,,3148.045339935347,8.054537012208463,Lower-Middle,America,✅ Sufficient data,0.4872039999999999,5.53,0.691,⚠️ Low data reliability
Bolivia,BOL,2023,0.733,,3148.045339935347,8.054537012208463,Lower-Middle,America,✅ Sufficient data,0.537289,,0.698,⚠️ Low data reliability
Brazil,BRA,2010,0.722,,8752.020504484579,9.07703986749318,Upper-Middle,America,✅ Sufficient data,0.521284,,,⚠️ Low data reliability
Brazil,BRA,2019,0.764,,8752.020504484579,9.07703986749318,Upper-Middle,America,✅ Sufficient data,0.583696,,0.722,⚠️ Low data reliability
Brazil,BRA,2020,0.758,7.75,8752.020504484579,9.07703986749318,Upper-Middle,America,✅ Sufficient data,0.574564,,0.764,✅ Sufficient data
Brazil,BRA,2021,0.756,7.78,8752.020504484579,9.07703986749318,Upper-Middle,America,✅ Sufficient data,0.571536,7.75,0.758,✅ Sufficient data
Brazil,BRA,2022,0.76,,8752.020504484579,9.07703986749318,Upper-Middle,America,✅ Sufficient data,0.5776,7.78,0.756,⚠️ Low data reliability
Brazil,BRA,2023,0.786,,8752.020504484579,9.07703986749318,Upper-Middle,America,✅ Sufficient data,0.617796,,0.76,⚠️ Low data reliability
Barbados,BRB,2010,0.792,,17853.124171119747,9.789933795485084,Upper-Middle,America,✅ Sufficient data,0.627264,,,⚠️ Low data reliability
Barbados,BRB,2019,0.806,,17853.124171119747,9.789933795485084,Upper-Middle,America,✅ Sufficient data,0.6496360000000001,,0.792,⚠️ Low data reliability
Barbados,BRB,2020,0.803,4.79,17853.124171119747,9.789933795485084,Upper-Middle,America,✅ Sufficient data,0.6448090000000001,,0.806,✅ Sufficient data
Barbados,BRB,2021,0.803,4.67,17853.124171119747,9.789933795485084,Upper-Middle,America,✅ Sufficient data,0.6448090000000001,4.79,0.803,✅ Sufficient data
Barbados,BRB,2022,0.809,,17853.124171119747,9.789933795485084,Upper-Middle,America,✅ Sufficient data,0.6544810000000001,4.67,0.803,⚠️ Low data reliability
Barbados,BRB,2023,0.811,,17853.124171119747,9.789933795485084,Upper-Middle,America,✅ Sufficient data,0.6577210000000001,,0.809,⚠️ Low data reliability
Brunei,BRN,2010,0.825,,29403.55065050512,10.288870716459956,High,Asia,✅ Sufficient data,0.6806249999999999,,,⚠️ Low data reliability
Brunei,BRN,2019,0.827,,29403.55065050512,10.288870716459956,High,Asia,✅ Sufficient data,0.6839289999999999,,0.825,⚠️ Low data reliability
Brunei,BRN,2020,0.827,4.33,29403.55065050512,10.288870716459956,High,Asia,✅ Sufficient data,0.6839289999999999,,0.827,✅ Sufficient data
Brunei,BRN,2021,0.824,4.05,29403.55065050512,10.288870716459956,High,Asia,✅ Sufficient data,0.6789759999999999,4.33,0.827,✅ Sufficient data
Brunei,BRN,2022,0.823,,29403.55065050512,10.288870716459956,High,Asia,✅ Sufficient data,0.677329,4.05,0.824,⚠️ Low data reliability
Brunei,BRN,2023,0.837,,29403.55065050512,10.288870716459956,High,Asia,✅ Sufficient data,0.700569,,0.823,⚠️ Low data reliability
Bhutan,BTN,2010,0.582,,3283.1994209410136,8.096573659166074,Lower-Middle,Asia,✅ Sufficient data,0.33872399999999997,,,⚠️ Low data reliability
Bhutan,BTN,2019,0.668,,3283.1994209410136,8.096573659166074,Lower-Middle,Asia,✅ Sufficient data,0.44622400000000007,,0.582,⚠️ Low data reliability
Bhutan,BTN,2020,0.675,5.74,3283.1994209410136,8.096573659166074,Lower-Middle,Asia,✅ Sufficient data,0.45562500000000006,,0.668,✅ Sufficient data
Bhutan,BTN,2021,0.677,5.75,3283.1994209410136,8.096573659166074,Lower-Middle,Asia,✅ Sufficient data,0.45832900000000004,5.74,0.675,✅ Sufficient data
Bhutan,BTN,2022,0.681,,3283.1994209410136,8.096573659166074,Lower-Middle,Asia,✅ Sufficient data,0.4637610000000001,5.75,0.677,⚠️ Low data reliability
Bhutan,BTN,2023,0.698,,3283.1994209410136,8.096573659166074,Lower-Middle,Asia,✅ Sufficient data,0.4872039999999999,,0.681,⚠️ Low data reliability
Botswana,BWA,2010,0.652,,6821.064797220944,8.827770867275474,Lower-Middle,Africa,✅ Sufficient data,0.42510400000000004,,,⚠️ Low data reliability
Botswana,BWA,2019,0.703,,6821.064797220944,8.827770867275474,Lower-Middle,Africa,✅ Sufficient data,0.49420899999999995,,0.652,⚠️ Low data reliability
Botswana,BWA,2020,0.701,9.76,6821.064797220944,8.827770867275474,Lower-Middle,Africa,✅ Sufficient data,0.4914009999999999,,0.703,✅ Sufficient data
Botswana,BWA,2021,0.68,9.72,6821.064797220944,8.827770867275474,Lower-Middle,Africa,✅ Sufficient data,0.4624000000000001,9.76,0.701,✅ Sufficient data
Botswana,BWA,2022,0.708,,6821.064797220944,8.827770867275474,Lower-Middle,Africa,✅ Sufficient data,0.5012639999999999,9.72,0.68,⚠️ Low data reliability
Botswana,BWA,2023,0.731,,6821.064797220944,8.827770867275474,Lower-Middle,Africa,✅ Sufficient data,0.534361,,0.708,⚠️ Low data reliability
