Country Name,GDP_per_capita,Suicide_rate,HDI_2023,GDP_per_capita_coverage,Suicide_rate_coverage,Low_data_quality_flag,HDI_sq,log_GDP_per_capita,HDI_2023_lag1,GDP_per_capita_lag1,Suicide_rate_lag1,income_group_auto,ISO3,continent,coverage_frac
Lithuania,17786.900458662298,25.0925,0.895,1.0,0.8,✅ Sufficient data,0.801025,9.78621753606265,,,,Upper-Middle,LTU,Europe,1.0
Luxembourg,107599.57642921519,9.785,0.922,1.0,0.8,✅ Sufficient data,0.8500840000000001,11.586171990170616,,,,High,LUX,Europe,1.0
Madagascar,443.9294806301365,6.0675,0.487,1.0,0.8,✅ Sufficient data,0.237169,6.095665722408214,,,,Low,MDG,Africa,1.0
Malawi,562.6893706794957,7.2175,0.517,1.0,0.8,✅ Sufficient data,0.267289,6.332727736407425,,,,Low,MWI,Africa,1.0
Malaysia,10649.424216435917,5.125,0.819,1.0,0.8,✅ Sufficient data,0.6707609999999999,9.27326110549163,,,,Upper-Middle,MYS,Asia,1.0
Maldives,9996.727996301994,1.9874999999999998,0.766,1.0,0.8,✅ Sufficient data,0.586756,9.210013118064662,,,,Upper-Middle,MDV,Asia,1.0
Mali,884.7240438310662,4.09,0.419,1.0,0.8,✅ Sufficient data,0.175561,6.785275781503411,,,,Low,MLI,Africa,1.0
Malta,30073.40493684913,5.78,0.924,1.0,0.8,✅ Sufficient data,0.8537760000000001,10.31139650325517,,,,High,MLT,Europe,1.0
Marshall Islands,5159.977593983476,4.25,0.733,1.0,0.0,⚠️ Low data reliability,0.537289,8.548687516214917,,,,Lower-Middle,MHL,Oceania,1.0
Mauritania,1571.68221369001,2.7199999999999998,0.563,1.0,0.8,✅ Sufficient data,0.31696899999999995,7.359901798412034,,,,Low,MRT,Africa,1.0
Mauritius,10240.742973724085,10.1675,0.806,1.0,0.8,✅ Sufficient data,0.6496360000000001,9.23412945198918,,,,Upper-Middle,MUS,Africa,1.0
Mexico,9886.476242349456,6.3149999999999995,0.789,1.0,0.8,✅ Sufficient data,0.6225210000000001,9.198923066118443,,,,Upper-Middle,MEX,America,1.0
